STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,COMMODITY,Commodity,MEASURE,Measure,UNIT_MEASURE,Unit of measure,VERSION_ID,Version ID,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2023,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2022,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2021,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2020,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2019,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2018,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2017,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2016,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2015,,1,,A,Normal value,3,Thousands,2,Two,,
DATAFLOW,OECD.TAD.ATM:DSD_AGR@DF_OUTLOOK_2021_2030(1.0),OECD-FAO Agricultural Outlook 2021-2030,I,NZL,New Zealand,A,Annual,CPC_0143,Cottonseed,QP,Production,T,Tonnes,AO_2021_2030,Agricultural Outlook 2021-2030,2030,,1,,A,Normal value,3,Thousands,2,Two,,
